Title,Composer,Rhythm,TimeSignature,Key,Year
"Things We Did Last Summer, The",Cahn-Styne,Medium Swing,4/4,F,1946
Think Of One,Thelonious Monk,Medium Swing,4/4,F,1952
This Can't Be Love,Richard Rodgers,Medium Swing,4/4,F,1937
This Could Be The Start Of Something Big,Steve Allen,Up Tempo Swing,4/4,Eb,1965
This I Dig Of You,Hank Mobley,Medium Up Swing,4/4,Bb,1962
This Is All I Ask,Gordon Jenkins,Ballad,4/4,F,1957
This Is New,Kurt Weill,Ballad,4/4,Cmin,1946
This Masquerade,Leon Russell,Rock Pop,4/4,Fmin,1968
This Time The Dream's On Me,Harold Arlen,Medium Up Swing,4/4,G,1941
This Year's Kisses,Irving Berlin,Medium Swing,4/4,G,1937
Thou Swell,Richard Rodgers,Medium Up Swing,4/4,Eb,1927
Three Flowers,McCoy Tyner,Waltz,3/4,Eb,1966
Three Little Words,Harry Ruby,Medium Up Swing,4/4,,1933
"Thrill Is Gone, The",Ray Henderson,Ballad,4/4,Cmin,1936
Thriving From A Riff,Charlie Parker,Up Tempo Swing,4/4,Bb,1957
Tickle-Toe,Lester Young,Up Tempo Swing,4/4,Db,1940
Till There Was You,Meredith Wilson,Ballad,4/4,Eb,1957
Time After Time,Jule Styne,Medium Swing,4/4,,1957
Time On My Hands,Vincent Youmans,Ballad,4/4,F,1930
Time Remembered,Bill Evans,Ballad,4/4,Bmin,1964
Tin Tin Deo,Dizzy Gillespie,Latin,4/4,Fmin,1946
Tiny Capers,Clifford Brown,Medium Up Swing,4/4,Bb,1959
Tis Autumn,Henry Nemo,Ballad,4/4,Eb,1947
Tokyo Blues,Horace Silver,Medium Swing,4/4,Cmin,1960
Tones For Joan's Bones,Chick Corea,Medium Swing,4/4,D,1966
Tonight,Bernstein-Sondheim,Bossa Nova,4/4,Ab,1957
Tonight I Shall Sleep,Ellington-Mercer,Ballad,4/4,Db,1961
Tonight You Belong To Me,Rose-David,Medium Swing,4/4,,1926
Too Close For Comfort,Bock-Weiss-Holofcener,Medium Swing,4/4,,1956
Too Marvelous For Words,Richard Whiting,Medium Swing,4/4,G,1936
Too Young,Lippman-Dee,Ballad,4/4,Bb,1951
Too Young To Go Steady,Jimmy McHugh,Ballad,4/4,F,1957
Topsy,Battle-Durham,Medium Swing,4/4,Dmin,1937
"Touch Of Your Lips, The",Ray Noble,Medium Swing,4/4,,1936
Tour De Force,Dizzy Gillespie,Medium Swing,4/4,Ab,1954
Trane’s Blues,John Coltrane,Medium Swing,4/4,Bb,1958
Travels,Pat Metheny,Even 8ths,4/4,G,1978
Tricotism,Oscar Pettiford,Medium Up Swing,4/4,Db,1953
Trinkle Tinkle,Thelonious Monk,Medium Swing,4/4,Eb,1954
Triste,Antonio-Carlos Jobim,Bossa Nova,4/4,A,1965
Try A Little Tenderness,Harry Woods,Ballad,4/4,Eb,1933
Tune Up,Miles Davis,Up Tempo Swing,4/4,Bb,1953
Turn Out The Stars,Bill Evans,Ballad,4/4,Amin,1974
Turnaround,Ornette Coleman,Medium Swing,4/4,,1957
Twisted,Wardell Gray,Medium Up Swing,4/4,Bbmin,1957
Twisted Blues,Wes Montgomery,Medium Up Swing,4/4,Db,1966
Two For The Road,Henry Mancini,Ballad,4/4,G,1962
Two Not One,Lennie Tristano,Up Tempo Swing,4/4,Ab,1976
Two Sleepy People,Hoagy Carmichael,Ballad,4/4,Eb,1938
Ugly Beauty,Thelonious Monk,Waltz,3/4,Db,1968
Undecided,Charlie Shavers,Medium Up Swing,4/4,,1921
Under A Blanket Of Blue,Jerry Livingston,Medium Swing,4/4,Ab,1934
Unforgettable,Gordon Irving,Ballad,4/4,G,1951
Unit Seven,Sam Jones,Medium Up Swing,4/4,,1964
United,Wayne Shorter,Waltz,3/4,F,1963
Unity Village,Pat Metheny,Ballad,4/4,Amin,1978
Unrequited,Brad Mehldau,Even 8ths,4/4,,1962
Up Jumped Spring,Freddie Hubbard,Waltz,3/4,Bb,1963
Up With The Lark,Jerome Kern,Medium Swing,3/4,,1957
Upper Manhattan Medical Group,Billy Strayhorn,Medium Up Swing,4/4,Db,1962
Valse Hot,Sonny Rollins,Waltz,3/4,Ab,1946
Very Early,Bill Evans,Waltz,3/4,,1960
"Very Thought Of You, The",Ray Noble,Ballad,4/4,Ab,1934
Violets For Your Furs,Adair-Dennis,Ballad,4/4,F,1947
Virgo,Wayne Shorter,Ballad,4/4,F,1967
Voyage,Kenny Barron,Up Tempo Swing,4/4,Fmin,1977
Wait Till You See Her,Richard Rodgers,Medium Swing,3/4,Eb,1941
Walk Tall,Cannonball Adderley,Funk,2/4,,1973
Walkin',Miles Davis,Up Tempo Swing,4/4,F,1955
Walkin' My Baby Back Home,Ahlert-Turk,Medium Swing,4/4,Eb,1931
Walkin' Shoes,Gerry Mulligan,Medium Swing,4/4,Eb,1960
Walkin' up,Bill Evans,Medium Swing,4/4,,1957
Waltz For Debby,Bill Evans,Waltz,3/4,F,1960
Warm Valley,Duke Ellington,Ballad,4/4,Bb,1941
Watch What Happens,Michel Legrand,Bossa Nova,4/4,Eb,1964
Watermelon Man,Herbie Hancock,Even 8ths,4/4,F,1967
Wave,Antonio-Carlos Jobim,Bossa Nova,4/4,D,1963
"Way You Look Tonight, The",Jerome Kern,Up Tempo Swing,4/4,F,1936
We See,Thelonious Monk,Medium Up Swing,4/4,Bb,1953
We Will Meet Again,Bill Evans,Waltz,3/4,Cmin,1974
We'll Be Together Again,Carl Fisher,Ballad,4/4,,1953
Webb City,Bud Powell,Medium Up Swing,4/4,Bb,1947
Well You Needn't,Thelonious Monk,Medium Swing,4/4,F,1951
Wendy,Paul Desmond,Slow Swing,4/4,Eb,1973
West Coast Blues,Wes Montgomery,Waltz,6/4,Bb,1960
What A Difference A Day Made,Maria Grever,Ballad,4/4,F,1950
What A Little Moonlight Can Do,Harry Woods,Up Tempo Swing,4/4,G,1935
What A Wonderful World,Weiss-Thiele,Ballad,4/4,F,1963
What Are You Doing New Year's Eve?,Frank Loesser,Ballad,4/4,F,1940
