Title,Composer,Rhythm,TimeSignature,Sections,Key,Year
Island Birdie,McCoy Tyner,Calypso,4/4,"[{'Label': 'A', 'Repeats': 1, 'MainSegment': {'Chords': 'Eb6|Fm7,Bb7|Eb6|Fm7,Bb7|Dm7b5,G7|Cm7,F7|Fm7,Bb7|Eb6'}}, {'Label': 'B', 'Repeats': 1, 'MainSegment': {'Chords': 'Ab7sus,Ab7|Ab7|F#m7,B7|F#m7,B7|Ab7sus,Ab7|Ab7|Fm7,Bb7|F#m7,B7'}}, {'MainSegment': {'Chords': 'Ab7sus,Bb7sus|Bb7,'}}]",Eb,na
Isn't It A Pity,George Gershwin,Ballad,4/4,"[{'Label': 'A', 'MainSegment': {'Chords': 'Cmaj7,Am7|F#m7b5,B7b9|Em7,A7|Dm7,G7|Cmaj7,,Gm7,C7|F,Em7,Dm7,G7'}, 'Endings': [{'Chords': 'Cmaj7,A7|Dm7,G7'}, {'Chords': 'C6|F#m7b5,B7b9#9'}]}, {'Label': 'B', 'MainSegment': {'Chords': 'Em7,C#7b13|F#m7b5,B7b9|Em7|A7,D7sus|Gmaj7,Em7|Am7,D7|G7sus|F7#11,Db7#11'}}, {'Label': 'A', 'MainSegment': {'Chords': 'Cmaj7,Am7|F#m7b5,B7b9|Em7,A7|Dm7,G7|Cmaj7,,Gm7,C7|F,Em7,Dm7,G7|C6|Dm7,G7'}}]",,1936
Isn't It Romantic?,Richard Rodgers,Medium Swing,4/4,"[{'Label': 'A', 'MainSegment': {'Chords': 'Eb6,Cm7|Fm7,Bb7|Ebmaj7,E07|Fm7,Bb7|Eb6/G,C7|Fm7,Bb7|Ebmaj7|Bbm7,Eb7'}}, {'Label': 'B', 'MainSegment': {'Chords': 'Abmaj7|Bb7,G7|Cm,G7/B|Bbm7,Eb7|Abmaj7,C7/G|Fm,,Dm7b5,G7|Cm,F7|Bb7alt,Bb7'}}, {'Label': 'A', 'MainSegment': {'Chords': 'Eb6,Cm7|Fm7,Bb7|Ebmaj7,E07|Fm7,Bb7|Eb6/G,C7|Fm7,Bb7|Ebmaj7|Bbm7,Eb7'}}, {'Label': 'C', 'MainSegment': {'Chords': 'Fm,Fm/Eb|Dm7b5,G7b9|Cm,Cm/Bb|Cm/A,Abm6|Gm7,Gb7|Fm7,Bb7|Eb6,Abm6|Eb6'}}]",Eb,1932
Isn't This A Lovely Day (To Be Caught In The Rain),Irving Berlin,Medium Swing,,"[{'Label': 'A', 'MainSegment': {'Chords': 'Ebmaj7|Ebm6,F7|Bbmaj7|Fm7,Bb7|Ebmaj7|Ebm6,F7|Bbmaj7|Bbmaj7'}}, {'Label': 'B', 'MainSegment': {'Chords': 'Dm7|Db07|Cm7,B07|Cm7,F7|Bbmaj7|A7#5,Ab7|Db7|Cm7,F7'}}, {'Label': 'A', 'MainSegment': {'Chords': 'Ebmaj7|Ebm6,F7|Bbmaj7|Fm7,Bb7|Ebmaj7|Ebm6,F7|Bbmaj7|Bbmaj7'}}, {'Label': 'C', 'MainSegment': {'Chords': 'Fm7|Bb7|Ebmaj7|C7|Ebmaj7|Ebm6,F7|Bb6,Db07|Cm7,F7'}}]",Bb,1935
Isotope,Joe Henderson,Medium Up Swing,4/4,"[{'Label': 'i', 'Repeats': 1, 'MainSegment': {'Chords': 'C7,A7|Eb7,D7|G7,C7|G7,C7|F7|Bb7|C7|A7sus|Ab7sus|Dm7,G7|C7,A7|Gb7,Eb7'}}, {'Label': 'A', 'MainSegment': {'Chords': 'C7|C7|C7|C7|F7|Bb7|C7|A7|Ab7|G7|C7,A7|Gb7,Eb7'}}]",,1954
Israel,John Carisi,Medium Swing,4/4,"[{'MainSegment': {'Chords': 'Dm|Dmb6|Dm6|D7#9|Gm(Gm7),Gm/maj7|Gm7(C7),Gm6|Dm7(Fmaj7),Em7|Fmaj7(Bbmaj7)|Bb7(Em7b5)|A7b9|Dm,F7|Bb7(A7b13),A7b13'}}]",Dmin,1956
It Ain't Necessarily So,George Gershwin,Medium Swing,4/4,"[{'Label': 'A', 'Repeats': 1, 'MainSegment': {'Chords': 'Gm7,C7|Gm7,C7|Gm7,C7|Gm7,C7|C7,Db7|C7,Db7|A7b9#5,D7#9|Gm7,C7'}}, {'Label': 'B', 'MainSegment': {'Chords': 'Bbm7,Eb7|Abmaj7|Am7,D7|Gmaj7|Gm7,C7|Fmaj7|A7|D7b13'}}, {'Label': 'A', 'MainSegment': {'Chords': 'Gm7,C7|Gm7,C7|Gm7,C7|Gm7,C7|C7,Db7|C7,Db7|A7b9#5,D7#9|Gm7,C7'}}]",Gmin,1935
It Could Happen To You,Jimmy Van-Heusen,Medium Swing,4/4,"[{'Label': 'A', 'MainSegment': {'Chords': 'Ebmaj7|E07(Gm7b5),(C7b9)|Fm7|F#07(Am7b5),(D7b9)|Ebmaj7|Abmaj7|Gm7b5|C7b9'}}, {'Label': 'B', 'MainSegment': {'Chords': 'Fm7|Bb7(Db7)|Ebmaj7|Dm7b5,G7b9|Cm7|F7|Fm7(F#m7),(B7)|Bb7(Fm7),(Bb7)'}}, {'Label': 'A', 'MainSegment': {'Chords': 'Ebmaj7|E07(Gm7b5),(C7b9)|Fm7|F#07(Am7b5),(D7b9)|Ebmaj7|Abmaj7|Gm7b5|C7b9'}}, {'Label': 'C', 'MainSegment': {'Chords': 'Fm7|Bb7(Db7)|Ebmaj7,Ab7|Gm7b5,C7b9|Fm7|Bb7|Ebmaj7,Cm7|Fm7,Bb7'}}]",Eb,1939
It Don't Mean A Thing,Duke Ellington,Medium Up Swing,4/4,"[{'Label': 'A', 'MainSegment': {'Chords': 'Gm(Gm),Gm/F#|Gm/F(Gm/maj7),C7/E|Eb7(Gm7),D7|Gm'}, 'Endings': [{'Chords': 'C7|C#07|Bb6/D|D7b5'}, {'Chords': 'C7|F7|Bb6|Bb6'}]}, {'Label': 'B', 'MainSegment': {'Chords': 'Fm7|Bb7|Eb6|Eb6|Gm7|C7|F7|D7'}}, {'Label': 'A', 'MainSegment': {'Chords': 'Gm(Gm),Gm/F#|Gm/F(Gm/maj7),C7/E|Eb7(Gm7),D7|Gm|C7|C#07|Bb6|Bb6'}}]",Bb,1942
It Had To Be You,Isham Jones,Medium Swing,4/4,"[{'Label': 'A', 'MainSegment': {'Chords': 'Gmaj7,D7#5|Gmaj7,F7|E7,Bm7|E7|A7,Em7|A7,Em7|A7,Em7|A7'}}, {'Label': 'B', 'MainSegment': {'Chords': 'D7|F#m7b5,B7b9|Em7,B7b9|Em7,Bb7#11|A7,Em7|A7|Am7|D7,D7#5'}}, {'Label': 'A', 'MainSegment': {'Chords': 'Gmaj7,D7#5|Gmaj7,F7|E7,Bm7|E7|A7,Em7|A7,Em7|A7,Em7|A7,,Dm7,G7'}}, {'Label': 'C', 'MainSegment': {'Chords': 'Cmaj7|F7|Gmaj7,B7b9|Em7,Bb07|D7/A,Ab07|D7/A,D7|G6,E7|Am7,D7'}}]",G,1929
It Might As Well Be Spring,Richard Rodgers,Medium Swing,4/4,"[{'Label': 'A', 'MainSegment': {'Chords': 'Gmaj7|Am7|Bm7,E7|Am7,D7|Gmaj7|Gmaj7|Dm7|G7|Cmaj7|C#m7b5,F#7b9|Bm7|E7|Am7|D7'}, 'Endings': [{'Chords': 'Bm7,Em7|Am7,D7'}, {'Chords': 'Gmaj7|Dm7,G7'}]}, {'Label': 'B', 'MainSegment': {'Chords': 'Cmaj7|Am7|Dm7|G7|Dm7|G7|Cmaj7|Bm7b5,E7|Am7|Am7/G|F#m7b5|B7b9|Em7|A7|Am7|D7'}, 'Endings': [{'Chords': 'Bm7|E7|A7|A7|Cm7|F7|Gmaj7,Gmaj7/F#|Em7,Em7/D|C#m7b5|Cm6|Bm7|E7|Am7|D7|Gmaj7|Gmaj7|Am7|D7'}]}]",G,1940
It Never Entered My Mind,Richard Rodgers,Ballad,4/4,"[{'Label': 'A', 'MainSegment': {'Chords': 'F,Faug|F6,Faug|Fmaj7,,Gm7(Am7),(Ab7)|Am7(Gm7),Gm7(C7)|Fmaj7,Bb7|Fmaj7/A,D7'}, 'Endings': [{'Chords': 'G7sus,G7|Gm7,C7'}, {'Chords': 'G7sus,G7|C7sus(Cm7),C7(F7)'}]}, {'Label': 'B', 'MainSegment': {'Chords': 'Fmaj7(Bbmaj7),(Fmaj7/A)|Gm7,C7|Fmaj7|Gm7,C7|Fmaj7,Gm7|Am7,,Bm7b5,E7|Am7,D7|Gm7,C7'}}, {'Label': 'A', 'MainSegment': {'Chords': 'Fmaj7,Faug|F6,Faug|Fmaj7,,Gm7(Am7),(Ab7)|Am7(Gm7),Gm7(C7)|Fmaj7,Bb7|Am7b5,D7b9|Gm7,C7|Am7,D7|Gm7,C7|F6,,Gm7,C7'}}]",F,1947
It Only Happens When I Dance With You,Irving Berlin,Medium Up Swing,4/4,"[{'Label': 'A', 'MainSegment': {'Chords': 'Cmaj7|C#07|Dm7|G7|Cmaj7|C#07|Dm7b5|G7|Fmaj7|Fm6'}, 'Endings': [{'Chords': 'Cmaj7|Cmaj7|Em7|A7b9|Dm7|G7b9'}, {'Chords': 'Em7b5|A7|Dm7|G7|Cmaj7,Em7|A7|Dm7|G7|C6|Dm7,G7'}]}]",,1938
It Was So Good While It Lasted,Poll-Ackers,Medium Swing,4/4,"[{'Label': 'A', 'MainSegment': {'Chords': 'Cmaj7,B7|Em7b5,A7b9|Dm7,Dm7/C|Bb7|Am7,Am7/G|F#m7b5,D7'}, 'Endings': [{'Chords': 'Am7,D7|Ab7#11,G7'}, {'Chords': 'Dm7,G7|C6,F7'}]}, {'Label': 'B', 'MainSegment': {'Chords': 'Emaj7,F07|F#m7,B7|G#m7,G07|F#m7,B7|Gmaj7,G#07|Am7,D7|Dm7|G7sus,G7'}}, {'Label': 'A', 'MainSegment': {'Chords': 'Cmaj7,B7|Em7b5,A7b9|Dm7,Dm7/C|Bb7|Am7,Am7/G|F#m7b5,D7|Dm7,G7|C6,G7sus'}}]",,na
It's A Big Wide Wonderful World,John Rox,Waltz,3/4,"[{'Label': 'A', 'Repeats': 1, 'MainSegment': {'Chords': 'Dbmaj7|Dbmaj7|Dbmaj7|G7b9|Cm7|Cm7|F7|F7|Bbm7|Bbm7|Eb7|Eb7|Abmaj7|Abmaj7|Ebm7|Ab7'}}, {'Label': 'B', 'MainSegment': {'Chords': 'Dbmaj7|Dbmaj7|Bbm7|Ebm7|Cm7|Cm7|Fm7|Fm7|Bbm7|Bbm7|Eb7|Eb7|Abmaj7|Abmaj7|Ebm7|Ab7'}}, {'Label': 'A', 'MainSegment': {'Chords': 'Dbmaj7|Dbmaj7|Dbmaj7|G7b9|Cm7|Cm7|F7|F7|Bbm7|Bbm7|Eb7|Eb7|Ab6|Ab6|Ebm7|Ab7'}}]",Ab,1949
It's A Blue World,Wright-Forrest,Medium Swing,4/4,"[{'Label': 'A', 'MainSegment': {'Chords': 'Gm9|Gm9,C7#5|Fmaj9|Fmaj9|Cm9|Cm9,F7#5|Bbmaj9|Bbmaj9'}}, {'Label': 'B', 'MainSegment': {'Chords': 'Bbmaj9|Bbm9,C7b9|Fmaj7|F7|Bbm7|Db7|C7,Bbm6|C7'}}, {'Label': 'A', 'MainSegment': {'Chords': 'Gm9|Gm9,C7#5|Fmaj9|Fmaj9|Cm9|Cm9,F7#5|Bbmaj9|Bbmaj9'}}, {'Label': 'C', 'MainSegment': {'Chords': 'Bbmaj9|Bbm9,Eb7|Fmaj7,Gm7|Am7b5,D7|G7|Gm7,C7|F6|Am7b5,D7'}}]",F,1936
It's A Dance,Michel Petrucciani,Waltz,3/4,"[{'Label': 'A', 'MainSegment': {'Chords': 'Ebmaj7|A7#5|G7#5|Bm7|E7|Gmaj7|A7|Am7,D7|Gmaj7|F#7|Bm7|E7|Fm7|Bb7|Ebmaj7|Eb7,D7'}}, {'Label': 'B', 'MainSegment': {'Chords': 'Ebmaj7|A7#5|G7#5|Bm7|E7|Gmaj7|A7|Am7,D7|Gmaj7|F#7|Bm7|E7|Em7|A7|Dmaj7|Fm7,Bb7'}}, {'Label': 'C', 'MainSegment': {'Chords': 'Ebmaj7|G7b9|Cm7|F7|Fm7|B7|Bmaj7/F#|F#7|Bmaj7/F#|F#7|Bmaj7/F#|F#7|Ebmaj7|Bb7'}}, {'MainSegment': {'Chords': 'Em7|A7|Dm7|Dm7'}}]",,na
It's A Good Day,Peggy Lee,Medium Up Swing,4/4,"[{'Label': 'A', 'Repeats': 1, 'MainSegment': {'Chords': 'C6|C6|C6|C6|Dm7|G7|C6|C6|C6|C6|C6|C6|Dm7|G7|C6|C6'}}, {'Label': 'B', 'MainSegment': {'Chords': 'C7|C7|F|F|D7|D7|G7|G7|C6|Db07|G7/D|D#07|Em|Eb07|Dm7|Db07'}}, {'Label': 'A', 'MainSegment': {'Chords': 'C6|C6|C6|C6|Dm7|G7|C6|C6|C6|C6|C6|C6|Dm7|G7|C6|C6'}}]",,1946
It's A Lovely Day Today,Irving Berlin,Medium Swing,4/4,"[{'Label': 'A', 'MainSegment': {'Chords': 'Bbmaj7,Gm7|Cm7,F7|Bbmaj7|Fm7,Bb7|Ebmaj7,Ebm7|Bbmaj7/D,Db07|Cm7|F7'}}, {'Label': 'B', 'MainSegment': {'Chords': 'Bbmaj7,Gm7|Cm7,F7|Bbmaj7,Gm7|Cm7,F7|Bbmaj7|D7b9,Gm7'}, 'Endings': [{'Chords': 'C7|F7b9'}, {'Chords': 'Ab9#11|G7b9|Ebmaj7,Ebm/maj7|Bbmaj7/D,C7|Cm7,F7|Bb6,,Cm7,F7'}]}]",Bb,1944
It's A Raggy Waltz,Dave Brubeck,Waltz,3/4,"[{'Label': 'A', 'MainSegment': {'Chords': 'G7,G7,C7/G,|C7/G,G07|G7|G7|C7|C7,,C#07,C#07|G7|G,E7,E7,|A7b9|D7b9|G,G7,C,|G'}}, {'Label': 'B', 'MainSegment': {'Chords': 'Cmaj7|Bm7,Em7|Bbm7,Eb7|Abmaj7|Gm7,C7|Fm7,Bb7|Em7,Eb7|D7'}}, {'Label': 'A', 'MainSegment': {'Chords': 'G|D7,G07,G07,|G7|G7|C7|C7,,C#07,C#07|G7|G,E7,E7,|A7b9|D7b9|G,G7,C,|G'}}]",G,1959
It's All Right With Me,Cole Porter,Up Tempo Swing,4/4,"[{'Label': 'A', 'MainSegment': {'Chords': 'Cm|Cm/maj7|Cm7|Cm6|Cm7|Cm7|Fm7|Fm7|F#07|F#07|Gm7b5|C7b9'}, 'Endings': [{'Chords': 'F7|F7|Dm7b5|G7b9'}, {'Chords': 'Fm7|Bb7|Eb6|Eb6'}]}, {'Label': 'B', 'MainSegment': {'Chords': 'Bbm6/Eb(Gm7b5)|Bbm6/Eb(C7b9)|Eb07(F7)|Eb07(F7)|Ab07/Eb(Fm7b5)|Ab/Eb(Bb7)|Ebmaj7|Ebmaj7|Bbm6/Eb(Gm7b5)|Bbm6/Eb(C7b9)|Eb07(F7)|Eb07(F7)|Ab07/Eb(Fm7b5)|Ab/Eb(Bb7)|Dm7b5|G7b9'}, 'Endings': [{'Chords': 'F7|F7|Fm7|Bb7|Ebmaj7|Eb7/G|Abmaj7|A07|Bb7sus|Bb7|Eb6|G7b9'}]}]",Cmin,1936
It's Been A Long Long Time,Jule Styne,Ballad,4/4,"[{'Label': 'A', 'MainSegment': {'Chords': 'F,Fmaj7|F6|F6,F#07|C7|Gm7,D7|Gm7,C7|Gm7,C7#5|Fmaj7'}}, {'Label': 'B', 'MainSegment': {'Chords': 'Fmaj7,Am7b5|D7b9|Gm7,Bbm6|Db7,C7'}}, {'Label': 'A', 'MainSegment': {'Chords': 'F,Fmaj7|Am7,D7|Gm7,Gb7|F6,,Gm7,C7'}}]",F,1946
It's De-lovely,Cole Porter,Medium Swing,4/4,"[{'Label': 'A', 'MainSegment': {'Chords': 'F|Faug|F6|Fmaj7|F6|F#07|Gm7|Am7b5,D7b9|Gm|Gmb6|Gm6|C7|Gm7|G#07|F6|Gm7,C7'}}, {'Label': 'B', 'MainSegment': {'Chords': 'Cm7,F7|Cm7,F7|Bbmaj7,,Cm7,C#m7|Dm7,Cm7,Bbmaj7,|Bbm6|Bbm6|C7|C7sus,C7'}}, {'Label': 'A', 'MainSegment': {'Chords': 'F|Faug|F6|Fmaj7|F|Fmaj7|Am7b5|D7b9|Gm7,C7|Gm7,C7|F6|Gm7,C7'}}]",F,1936
It's Easy To Remember,Richard Rodgers,Ballad,4/4,"[{'Label': 'A', 'MainSegment': {'Chords': 'Fm7,Bb7|Ebmaj7,C7|Fm7,Bb7|Bbm7,Eb7|Abmaj7|Db7|Cm7,F7,Fm7,Bb7'}, 'Endings': [{'Chords': 'Gm7,C7'}, {'Chords': 'Eb6'}]}, {'Label': 'B', 'MainSegment': {'Chords': 'Bbm7,Eb7|Abmaj7,Fm7|Bbm7,Eb7|Abmaj7|Abm7,Db7|Gbmaj7|Cm7,F7|Bb7'}}, {'Label': 'A', 'MainSegment': {'Chords': 'Fm7,Bb7|Ebmaj7,C7|Fm7,Bb7|Bbm7,Eb7|Abmaj7|Db7|Cm7,F7,Fm7,Bb7|Eb6'}}]",Eb,1937
It's Impossible,Armando Manzanero,Ballad,4/4,"[{'MainSegment': {'Chords': 'G,G6|Gmaj7,G6|F#m7b5|B7|Em7|Dm7,G7sus|Bm7b5|E7'}, 'Endings': [{'Chords': 'Am7|F9|Gmaj7|E7|Am7|A7|D7|Am7,D7'}, {'Chords': 'Am7|F9|Gmaj7|E7|Am7|D9|G6|Am7,D7'}]}]",G,1971
It's Just Talk,Pat Metheny,Latin,4/4,"[{'Label': 'i', 'Repeats': 1, 'MainSegment': {'Chords': 'C#m9|C#m9|C9#11|C9#11'}}, {'Label': 'A', 'MainSegment': {'Chords': 'C#m9|C#m9|C9#11|C9#11|C#m9|C#m9|C9#11|C9#11|F#m7|F#m7|Gadd9|G/A,,A/B,C#m9|C#m9|C#m9'}, 'Endings': [{'Chords': 'C9#11|C9#11'}, {'Chords': 'C#m9|C#m9'}]}, {'Label': 'B', 'MainSegment': {'Chords': 'F#m9|E/G#,Amaj7|C/D|C/D|Gmaj9,Bb9|Ebmaj9,Amaj7/B|E69|E69|Gmaj7/A|Dmaj9|Amaj7/B|Emaj9|Bmaj7/C#|F#maj9|F#m9|Amaj7/B'}}]",C#min,na
It's Magic,Jule Styne,Ballad,4/4,"[{'Label': 'A', 'MainSegment': {'Chords': 'Bbmaj7,Ebmaj7|Bb/D,Db07|Cm7,F7|Cm7,F7|Cm7|F7|Bbmaj7|F7sus,F7'}}, {'Label': 'B', 'MainSegment': {'Chords': 'Bbmaj7,Eb7|Dm7,Db07|Cm7|F7|Gm7,C7|Gm7,C7|Cm7|F7'}}, {'Label': 'C', 'MainSegment': {'Chords': 'Bbmaj7,Ebmaj7|Bb/D,Db07|Cm7,F7|Cm7,F7|Cm7|F7|Dm7b5|G7b9'}}, {'Label': 'D', 'MainSegment': {'Chords': 'Cm7|Ebm7,Ab7|Bb6,Gm7|Cm7,F7|Dm7,Gm7|Cm7,F7|Bb6,Gm7|Cm7,F7b9'}}]",Bb,1938
It's Only a Paper Moon,Harold Arlen,Medium Swing,4/4,"[{'Label': 'A', 'MainSegment': {'Chords': 'Gmaj7,E7|Am7,D7|Am7,D7|Gmaj7,,Am7,D7|Dm7,G7|Cmaj7,Am7b5|D7'}, 'Endings': [{'Chords': 'G6,,Am7,D7'}, {'Chords': 'G6,G7'}]}, {'Label': 'B', 'MainSegment': {'Chords': 'Cmaj7,C#07|Gmaj7/D,E7|Am7,D7|G6,G7|Cmaj7,C#07|Gmaj7/D|Bm7b5,E7b9|Am7,D7'}}, {'Label': 'A', 'MainSegment': {'Chords': 'Gmaj7,E7|Am7,D7|Am7,D7|Gmaj7,,Am7,D7|Dm7,G7|Cmaj7,Am7b5|D7|G6,,Am7,D7'}}]",G,1927
It's The Talk Of The Town,Jerry Livingston,Ballad,4/4,"[{'Label': 'A', 'MainSegment': {'Chords': 'Fmaj7,Ab07|Gm7,C7|Fmaj7,F7#5|Bbmaj7,Eb7|Fmaj7,E7|Eb7,D7'}, 'Endings': [{'Chords': 'G7|Gm7,C7'}, {'Chords': 'G7,C7|F6'}]}, {'Label': 'B', 'MainSegment': {'Chords': 'Gm7,D7|Gm7,D7|Gm7|Am7b5,D7b9|G7,Dm7|G7,D7|Dm7,G7|C7#5'}}, {'Label': 'A', 'MainSegment': {'Chords': 'Fmaj7,Ab07|Gm7,C7|Fmaj7,F7#5|Bbmaj7,Eb7|Fmaj7,E7|Eb7,D7|G7,C7|F6,C7'}}]",F,1939
It's You Or No One,Jule Styne,Up Tempo Swing,4/4,"[{'Label': 'A', 'MainSegment': {'Chords': 'Gm7|C7|Fmaj7,Bb7|Am7,D7|Gm7|C7|Fmaj7|Fmaj7'}}, {'Label': 'B', 'MainSegment': {'Chords': 'Bbm7|Eb7|Abmaj7|Abmaj7|Cmaj7,Am7|Dm7,G7|Gm7|C7'}}, {'Label': 'A', 'MainSegment': {'Chords': 'Gm7|C7|Fmaj7,Bb7|Am7,D7|Gm7|C7|Am7b5(Cm7)|D7b9(F7)'}}, {'Label': 'C', 'MainSegment': {'Chords': 'Bm7b5(Bbmaj7)|Bbm7,Eb7|Am7,Dm7|Abm7(Bbm7),Db7(Eb7)|Gm7|C7|F6|Am7,D7'}}]",F,1957
Jackie-ing,Thelonious Monk,Medium Swing,4/4,"[{'Label': 'i', 'MainSegment': {'Chords': 'Bbmaj7#11|Bbmaj7#11|Bbmaj7#11|Bbmaj7#11|Bbmaj7#11|Bbmaj7#11|Cm11,F9sus|F9sus|Bbmaj7#11|Bbmaj7#11|G7b9|F7/C(Cm7),C7/F(F7)|Bbmaj7#11|Bbmaj7#11|Bbmaj7#11|Bbmaj7#11'}}]",Bb,1951
Jaco,Pat Metheny,Even 8ths,4/4,"[{'Repeats': 1, 'MainSegment': {'Chords': 'Gsus|Gsus'}}, {'Label': 'A', 'MainSegment': {'Chords': 'Eb/F|Eb/F'}}, {'Label': 'B', 'MainSegment': {'Chords': 'Cm7,,(Db9),(Cm7)|Cm7,,(Db9),(Cm7)|Dbmaj7,Db9|Cm7|Cm7|Cm7|Dbmaj7,Db9|Cm7'}}, {'MainSegment': {'Chords': 'Abmaj7,Ab7(Abmaj7)|Gm7,C7(Gm7)|Abmaj7|Gm7,Cm7(Gm7)|Dbmaj7|Cm7,Ab7|D7#9,G7#5|Cm7'}}, {'Label': 'i', 'Repeats': 1, 'MainSegment': {'Chords': 'Cm7,Abmaj9|Dbmaj7,G7#5'}}]",Cmin,1976
James,Pat Metheny,Bossa Nova,4/4,"[{'Label': 'A', 'MainSegment': {'Chords': 'D#6,B/D#|G/D,A/C#|C6,C07|G/B,Gm/Bb|D/A|Fmaj7/A|D/A|Gadd9,,G,A'}}, {'Label': 'B', 'MainSegment': {'Chords': 'Dmaj7,Gmaj7|A/C#,Bm7|Gmaj7,F#m7|Gmaj7,F#m7|Dmaj7,Gmaj7|C#m7b5,F#7,Bm7,|Gmaj7,F#m7|Gmaj7,F#m7'}, 'Endings': [{'Chords': 'Gmaj7,G/A|D,,G/A,A'}, {'Chords': 'Gmaj7,G/A|D'}]}, {'Label': 'A', 'MainSegment': {'Chords': 'A,F#7/A#|Bm,A/C#|D,C#/F|F#m,E/G#|A,A/G|D/F#,Bm7|Em7,A|Gmaj7,A'}}, {'MainSegment': {'Chords': 'Dmaj7,Gmaj7|A/C#,Bm7|Gmaj7,F#m7|Gmaj7,F#m7|D7,G7|C#m7b5,F#7,Bm7,|Gmaj7,F#m7|Gmaj7,F#m7|Gmaj7,G/A|D,,G,A'}}, {'Repeats': 1, 'MainSegment': {'Chords': 'G,G/A|Bm7,D7/A|G,F#m|G,F#m'}}, {'MainSegment': {'Chords': 'Gmaj7,G/A|D'}}]",D,na
Jazz Folk,John Abercrombie,Medium Swing,4/4,"[{'Label': 'A', 'MainSegment': {'Chords': 'Cmaj7|Fmaj7|Am7,Ab7#11|G7sus,G7|C7sus|C7|Fmaj7|Fm7|Em7|A7b9|Dm7|G7'}, 'Endings': [{'Chords': 'Dbmaj7|Bbm7|Ebm7,Ab7|Dm7,G7'}, {'Chords': 'Dbmaj7|Bbm7|Am7|B7#5#9'}]}, {'Label': 'B', 'MainSegment': {'Chords': 'Em7/B|B7#9|Em7/B|B7#9|Em7/B|B7#9|Em,Eb7#11|Dm,Gm7b5'}, 'Endings': [{'Chords': 'Dbmaj7|Bbm7|Ebm7|G7sus,G7'}]}]",,na
Je Ne Sais Pas,Hampton-Jones,Medium Swing,4/4,"[{'Label': 'A', 'Repeats': 1, 'MainSegment': {'Chords': 'Fmaj7,,Bbm7,Eb7|Abmaj7,Db7|Gm7,C7|Fmaj7,D7|Bbmaj7,B07|Fmaj7,D7b9|Gm7,C7|F6'}}, {'Label': 'B', 'MainSegment': {'Chords': 'Bb6|B07|F6|F7|Bb6|B07|Fmaj7,D7|Gm7,C7'}}, {'Label': 'A', 'MainSegment': {'Chords': 'Fmaj7,,Bbm7,Eb7|Abmaj7,Db7|Gm7,C7|Fmaj7,D7|Bbmaj7,B07|Fmaj7,D7b9|Gm7,C7|F6'}}]",F,na
Jeannie's Song,Marchel Ivery,Medium Swing,4/4,"[{'Label': 'A', 'MainSegment': {'Chords': 'Gm7|C7|Gm7|C7|Fmaj7|Bb9|Am7|Ab07'}}, {'Label': 'B', 'MainSegment': {'Chords': ''}, 'Endings': [{'Chords': 'Gm7|C7|Fmaj7|Em7,A7|Dmaj7|A7|Dm7|G7'}, {'Chords': 'Gm7|C7|Am7|D7|Gm7|C7|Fmaj7|Fmaj7'}]}]",F,na
Jeannine,Duke Pearson,Medium Up Swing,4/4,"[{'MainSegment': {'Chords': 'Abm7|Abm7|Abm7|Abm7|Abm7|Abm7|Abm7|Abm7|F#m7|B7|Emaj7|A7|Bbm7|Eb7#9'}, 'Endings': [{'Chords': 'Abmaj7|Eb7#9'}, {'Chords': 'Abmaj7|Ebm7,Ab7'}]}, {'Label': 'A', 'MainSegment': {'Chords': 'Dbmaj7|Gm7b5,C7|Fmaj7|Fmaj7|Fm7|Bb7|Bbm7|Eb7'}}, {'Label': 'B', 'MainSegment': {'Chords': 'Abm7|Abm7|Abm7|Abm7|Abm7|Abm7|Abm7|Abm7|F#m7|B7|Emaj7|A7|Bbm7|Eb7#9|Abmaj7|Eb7b9'}}]",Ab,1966
Jeepers Creepers,Harry Warren,Medium Swing,4/4,"[{'Label': 'A', 'Repeats': 1, 'MainSegment': {'Chords': 'Cm7,F7|Bb6,Gm7|Cm7,F7|Bb6,Gm7|Cm7,F7|Bb6,Gm7|Cm7,F7|Bb6'}}, {'Label': 'B', 'MainSegment': {'Chords': 'Fm7,Bb7|Eb6,Cm7|Fm7,Bb7|Eb6|Gm7,C7|Fmaj7,Dm7|Gm7,C7|Cm7,F7'}}, {'Label': 'A', 'MainSegment': {'Chords': 'Cm7,F7|Bb6,Gm7|Cm7,F7|Bb6,Gm7|Cm7,F7|Ab7,G7|Cm7,F7|Bb6,G7|Cm7,F7|Bb6'}}]",Bb,1937
Jersey Bounce,Plater-Bradshaw-Johnson,Medium Up Swing,4/4,"[{'Label': 'A', 'MainSegment': {'Chords': 'F6|F6|G7|G7|Gm7|C7'}, 'Endings': [{'Chords': 'F6,Ab07|Gm7,C7'}, {'Chords': 'F6,Db7|F6'}]}, {'Label': 'B', 'MainSegment': {'Chords': 'F7|F7|Eb7|Eb7|Db7|Db7|C7|C7#5'}}, {'Label': 'A', 'MainSegment': {'Chords': 'F6|F6|G7|G7|Gm7|C7|F6,Db7|F6'}}]",F,1941
