Title,Composer,Rhythm,TimeSignature,Sections,Key,Year
A Pretty Girl Is Like A Melody,Irving Berlin,Medium Swing,4/4,"[{'Label': 'A', 'MainSegment': {'Chords': 'A7,Bb13|A7|Am9|D7|F#/G,G|F#/G,G|Gmaj9|Gmaj9|Dm7,G7|C6|F9|Gmaj7|A7|A7|D9|D9,C9,B7,Bb7'}}, {'Label': 'B', 'MainSegment': {'Chords': 'A7,Bb13|A7|Am9|D7|F#/G,G|Dm7,G7|Cmaj7,E7/B|Am7|C#m7,F#7|B7|Bm7,E7|Am7|Am7,Eb13|D7|G6|Am7,D7'}}]",G,1916
A Shade Of Jade,Joe Henderson,Up Tempo Swing,4/4,"[{'Label': 'A', 'Repeats': 1, 'MainSegment': {'Chords': 'Cm7|Cm7|Cm7|Cm7|Dbmaj7#11|Dbmaj7#11|Ebmaj7#11,Emaj7#11|Dmaj7#11|Dbmaj7#11|Dbmaj7#11|Dbmaj7#11|Dbmaj7#11'}}, {'Label': 'B', 'MainSegment': {'Chords': 'Gbmaj7|Gbmaj7|F13b9|F13b9|Bbm/maj7|Bbm/maj7|Gm7b5|C7#9|Fmaj7,Dm7|Dm7|Bbm7,Ebmaj7|Ebmaj7|Gbmaj7#11,Dbmaj7#11|Dbmaj7#11|Dm7b5,Abmaj7|Abmaj7,G7b9'}}, {'Label': 'A', 'MainSegment': {'Chords': 'Cm7|Cm7|Cm7|Cm7|Dbmaj7#11|Dbmaj7#11|Ebmaj7#11,Emaj7#11|Dmaj7#11|Dbmaj7#11|Dbmaj7#11|Dbmaj7#11|Dbmaj7#11'}}]",Cmin,1974
A Sleepin' Bee,Harold Arlen,Medium Swing,4/4,"[{'Label': 'A', 'MainSegment': {'Chords': 'Abmaj7,Eb7sus|Abmaj7,Eb7sus|Abmaj7,D7|Dbmaj7,Gb7sus|Abmaj7,Db7|C7,F7|Bbm7,E7|Eb7,Db7'}}, {'Label': 'B', 'MainSegment': {'Chords': 'C9,C7b9|F13,F7b13|Bb13,Bb7b13|Eb9,Eb7b9|Ab13,Ab7b13|Db7|Bbm7,Cm7,Db6,D0|Eb7sus,Eb7'}}, {'Label': 'A', 'MainSegment': {'Chords': 'Abmaj7,Eb7sus|Abmaj7,Eb7sus|Abmaj7,D7|Dbmaj7,Gb7sus|Abmaj7,Db7|C7,F7|Bbm7,E7|Eb7,Db7'}}, {'Label': 'C', 'MainSegment': {'Chords': 'C9,C7b9|F13,F7b13|Bb13,Bb7b13|Eb9,Eb7b9|Abmaj7,Dbmaj7|C7,F7|Bb7,Eb7|C7,F7|Bb7|Eb7sus,Eb7|Ab6,Bmaj7|Emaj7,Amaj7'}}]",Ab,1958
A Smooth One,Benny Goodman,Medium Up Swing,4/4,"[{'Label': 'A', 'MainSegment': {'Chords': 'B07,Bb6|F6/A,F6|B07,Bb6|F6/A,F6|B07,Bb6|F6/A,F6|G7,C7'}, 'Endings': [{'Chords': 'F6'}, {'Chords': 'F6,F7'}]}, {'Label': 'B', 'MainSegment': {'Chords': 'Bb6|B07|F6|Cm7,F7|Bb6|B07|F6,D7b9|Gm7b5,C7'}}, {'Label': 'A', 'MainSegment': {'Chords': 'B07,Bb6|F6/A,F6|B07,Bb6|F6/A,F6|B07,Bb6|F6/A,F6|G7,C7|F6'}}]",F,1946
A Sound For Sore Ears,Jimmy Heath,Even 8ths,4/4,"[{'Label': 'A', 'MainSegment': {'Chords': 'Bb7sus|Bb7sus|Bb7sus|Bb7sus|Bb7sus|Bb7sus|Bb7sus|Bb7sus'}}, {'Label': 'B', 'MainSegment': {'Chords': 'G7sus|G7sus|G7sus|G7sus|G7sus|G7sus|G7sus|G7sus'}}, {'Label': 'C', 'MainSegment': {'Chords': 'Bm7,E7|Amaj7|Bbm7,Eb7|Abmaj7|Abmaj7|Fmaj7|Dmaj7|Bmaj7'}}]",Eb,1959
A Sunday Kind Of Love,Belle-Prima-Leonard-Rhodes,Ballad,4/4,"[{'Label': 'A', 'MainSegment': {'Chords': 'Fmaj7,F#07|Gm7,C7|Fmaj7,Cm7,F7,|Bbmaj7,Bbm7|Fmaj7,D7|Gm7,C7'}, 'Endings': [{'Chords': 'F6,Dm7|Gm7,Db7,C7,'}, {'Chords': 'F6,Eb7|F6'}]}, {'Label': 'B', 'MainSegment': {'Chords': 'Cm7,F7|Cm7,F7|Bbmaj7,F7|Bbmaj7|G7|G7|Gm7|C7,,Db7,C7'}}, {'Label': 'A', 'MainSegment': {'Chords': 'Fmaj7,F#07|Gm7,C7|Fmaj7,Cm7,F7,|Bbmaj7,Bbm7|Fmaj7,D7|Gm7,C7|F6,Eb7|F6'}}]",F,1946
A Taste Of Honey,Marlow-Scott,Waltz,3/4,"[{'Label': 'A', 'MainSegment': {'Chords': 'Dm|Dm/maj7|Dm7|G7|Dm|Dm/maj7|Dm7|G7|Dm|Dm|Bbmaj7|Am7|Dm|Dm'}}, {'MainSegment': {'Chords': 'Dm7|G7|Dm7|G7|Bbmaj7|Am7|Dm|Em7b5,A7b9'}}]",Dmin,1961
A Time For Love,Johnny Mandel,Ballad,4/4,"[{'Label': 'A', 'MainSegment': {'Chords': 'Fmaj7|Eb7/F|F6|G7|Gm7|Gm7/F|Em7,A7|Em7b5/A,A7b9'}}, {'Label': 'B', 'MainSegment': {'Chords': 'Dm7|Eb7/Db|F7/C|G7|Gm7|Gm7/F|Em7,A7|Em7b5/A,A7b13'}}, {'Label': 'C', 'MainSegment': {'Chords': 'Dm7,A7|Dm7,G7|C6,E7b13|Am7,A7b13|Dm7,Cm6|Bm7b5,E7|C#m7,F#m7|Gm7,C7'}}, {'Label': 'D', 'MainSegment': {'Chords': 'Fmaj7|Em7b5,A7b9|Dm7|G7|Gm7|Gm7/F|Em7,A7|Em7b5,A7b9|Dm7|G7|Gm7|C7|F6|C7sus'}}]",F,1966
A Tisket A Tasket,Traditional,Medium Swing,4/4,"[{'Label': 'A', 'MainSegment': {'Chords': 'Ebmaj7|Ebmaj7|Ebmaj7,Abmaj7|Gm7,C7|Fm7|Bb7|Fm7,Bb7'}, 'Endings': [{'Chords': 'Ebmaj7,Bb7'}, {'Chords': 'Ebmaj7,Eb7'}]}, {'Label': 'B', 'MainSegment': {'Chords': 'Ab6|Abm6|Ebmaj7|Eb7|Ab6|Abm6|Gm7,C7|Fm7,Bb7'}}, {'Label': 'A', 'MainSegment': {'Chords': 'Ebmaj7|Ebmaj7|Ebmaj7,Abmaj7|Gm7,C7|Fm7|Bb7|Fm7,Bb7|Ebmaj7'}}]",Eb,1938
A Weaver Of Dreams,Victor Young,Medium Swing,4/4,"[{'Label': 'A', 'MainSegment': {'Chords': 'Cmaj7|Cmaj7|Bm7b5|E7b9|Am7|Am7|Gm7|C7'}}, {'Label': 'B', 'MainSegment': {'Chords': 'Fmaj7|Bb7#11|Em7|A7|D7|D7|Dm7|G7'}}, {'Label': 'A', 'MainSegment': {'Chords': 'Cmaj7|Cmaj7|Bm7b5|E7b9|Am7|Am7|Gm7|C7'}}, {'Label': 'C', 'MainSegment': {'Chords': 'Fmaj7|Bb7#11|Em7|Ebm7,Ab7|Dm7|G7|Cmaj7|Dm7,G7'}}]",,1947
